run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_10-02-08,A*,1,1,64,82.22539674441612,0.0,1,413.0416367245811,0.298625648021698,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409536
2026-04-04_10-02-08,A*,2,1,54,73.0538238691623,0.0,5,410.11423919296857,3.1951061487197876,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409719
2026-04-04_10-02-08,A*,3,1,53,71.63961030678922,0.0,0,411.0675720575793,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409725
2026-04-04_10-02-08,A*,4,1,52,71.8822509939085,0.0,1,369.32740411865456,0.3985842168331146,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409731
2026-04-04_10-02-08,A*,5,1,108,137.82337649086278,0.0,3,414.9646285140028,1.7463778257369995,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409736
2026-04-04_10-02-08,A*,6,1,47,65.63961030678922,0.0,3,411.08641269197415,1.3008878827095032,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409741
2026-04-04_10-02-08,A*,7,0,150,199.70562748477184,37.36308338453881,4,118.28647892564904,2.069889783859253,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409746
2026-04-04_10-02-08,A*,8,0,144,186.66399692442897,6.082762530298219,0,170.4638685502069,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409751
2026-04-04_10-02-08,A*,9,1,46,64.22539674441614,0.0,8,412.15963056354826,4.5125232338905334,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409756
2026-04-04_10-02-08,A*,10,1,59,80.12489168102778,0.0,8,411.3285688445726,5.305009841918945,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409761
2026-04-04_10-02-08,A*,11,1,48,66.22539674441613,0.0,0,412.05290232926797,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409766
2026-04-04_10-02-08,A*,12,1,47,65.63961030678924,0.0,2,413.4009560636885,1.1060727834701538,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409771
2026-04-04_10-02-08,A*,13,1,65,84.4680374315354,0.0,0,409.58732036354996,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409776
2026-04-04_10-02-08,A*,14,1,52,69.39696961966995,0.0,3,413.98607604124777,1.7271299362182617,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409780
2026-04-04_10-02-08,A*,15,1,49,67.63961030678924,0.0,0,413.12974247022726,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409785
2026-04-04_10-02-08,A*,16,1,47,65.63961030678924,0.0,0,413.3444906697566,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409789
2026-04-04_10-02-08,A*,17,1,51,67.98275605729684,0.0,0,412.6420482109449,0.0,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409794
2026-04-04_10-02-08,A*,18,1,47,64.81118318204304,0.0,7,411.94797809029205,3.812327802181244,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409798
2026-04-04_10-02-08,A*,19,0,150,195.56349186104075,1.4142135623730951,2,314.95725891589575,0.8884499371051788,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409803
2026-04-04_10-02-08,A*,20,1,46,64.22539674441613,0.0,4,410.6423488259098,1.8901188671588898,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409808
2026-04-04_10-02-08,A*,21,1,100,130.6518036156089,0.0,10,405.35835978877657,6.2330441772937775,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409813
2026-04-04_10-02-08,A*,22,0,1,1.4142135623730951,63.655321851358195,1,-109.33619815615604,0.690819501876831,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409818
2026-04-04_10-02-08,A*,23,1,50,68.22539674441613,0.0,2,410.12420479542766,1.0003893375396729,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409823
2026-04-04_10-02-08,A*,24,1,50,69.05382386916231,0.0,6,412.8115099734634,3.7814778685569763,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409828
2026-04-04_10-02-08,A*,25,1,67,87.29646455628156,0.0,3,409.6629348788854,1.8507577776908875,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409833
2026-04-04_10-02-08,A*,26,1,50,67.39696961966995,0.0,3,412.84552173599417,1.2331050634384155,50,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T14:20:23.409837
