run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_11-37-39,A*,1,1,91,122.066017177982,0.0,0,661.8186065066362,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722318
2026-04-04_11-37-39,A*,2,1,90,120.6518036156089,0.0,0,662.1340155614016,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722767
2026-04-04_11-37-39,A*,3,1,91,123.72287142747437,0.0,0,661.8155717518357,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722774
2026-04-04_11-37-39,A*,4,1,88,120.30865786510128,0.0,6,663.3986050427175,3.5691287517547607,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722780
2026-04-04_11-37-39,A*,5,1,80,113.13708498984747,0.0,4,662.5279189673275,1.987103521823883,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722786
2026-04-04_11-37-39,A*,6,1,85,116.89444430272819,0.0,0,663.191159233114,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722792
2026-04-04_11-37-39,A*,7,1,96,130.79393923933984,0.0,0,662.8582611776066,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722797
2026-04-04_11-37-39,A*,8,1,80,113.13708498984747,0.0,0,662.5617003977385,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722802
2026-04-04_11-37-39,A*,9,1,80,113.13708498984747,0.0,5,662.4961517989624,3.332188367843628,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722807
2026-04-04_11-37-39,A*,10,1,82,115.13708498984747,0.0,1,662.5404979767276,0.3928307890892029,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722813
2026-04-04_11-37-39,A*,11,1,85,116.89444430272819,0.0,0,661.7634381616502,0.0,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722818
2026-04-04_11-37-39,A*,12,0,150,197.22034611053311,11.40175425099138,12,521.4792398887671,6.661179065704346,85,150,0.2,0.9,0.0,0,0.95,2,8,2026-04-04T16:07:29.722823
