run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_16-55-51,A*,1,1,122,155.96551211459382,0.0,3,302.2108399206371,1.7967499494552612,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875668
2026-04-04_16-55-51,A*,2,0,128,162.79393923934006,4.47213595499958,2,69.22420477694281,1.5954644083976746,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875855
2026-04-04_16-55-51,A*,3,1,90,114.85281374238559,0.0,0,334.42292282647463,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875862
2026-04-04_16-55-51,A*,4,1,83,104.12489168102775,0.0,11,325.8645194040559,6.884063541889191,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875868
2026-04-04_16-55-51,A*,5,1,103,130.75230867899725,0.0,0,344.3460463661089,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875874
2026-04-04_16-55-51,A*,6,0,9,11.071067811865477,56.568542494923804,1,-130.9762009177418,0.6103489995002747,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875879
2026-04-04_16-55-51,A*,7,1,105,135.23759005323583,0.0,4,328.36079978777786,1.866137981414795,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875885
2026-04-04_16-55-51,A*,8,1,119,153.3797256769669,0.0,8,299.31025001345824,3.802131026983261,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875891
2026-04-04_16-55-51,A*,9,1,170,218.87720036002563,0.0,6,262.2056943806232,2.9259237945079803,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875897
2026-04-04_16-55-51,A*,10,1,90,115.68124086713178,0.0,4,318.71918236979695,2.3528911471366882,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875902
2026-04-04_16-55-51,A*,11,1,100,127.33809511662415,0.0,0,334.4509489545431,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875908
2026-04-04_16-55-51,A*,12,1,93,117.4386001800125,0.0,2,317.4322875589835,1.1116226315498352,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875913
2026-04-04_16-55-51,A*,13,0,12,15.313708498984763,50.93132631298737,1,-100.36178575573864,0.4384560286998749,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875918
2026-04-04_16-55-51,A*,14,1,92,116.85281374238559,0.0,0,319.933085176446,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875924
2026-04-04_16-55-51,A*,15,1,147,186.35028842544423,0.0,7,265.3708975369194,3.4741536378860474,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875930
2026-04-04_16-55-51,A*,16,1,114,144.65180361560903,0.0,0,307.5546780904705,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875935
2026-04-04_16-55-51,A*,17,1,147,188.00714267493663,0.0,4,172.3137448577161,2.257846772670746,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875940
2026-04-04_16-55-51,A*,18,1,107,137.2375900532359,0.0,0,295.4334630155912,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875946
2026-04-04_16-55-51,A*,19,1,117,147.23759005323595,0.0,6,295.952818654887,4.201257258653641,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875951
2026-04-04_16-55-51,A*,20,1,139,175.8650070512056,0.0,0,286.5210651010159,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875956
2026-04-04_16-55-51,A*,21,1,107,134.7523086789973,0.0,0,303.6023971134657,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875961
2026-04-04_16-55-51,A*,22,1,92,120.16652224137034,0.0,14,325.1390384613027,9.116583347320557,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875966
2026-04-04_16-55-51,A*,23,1,124,159.62236636408622,0.0,3,308.8366808095868,1.6869781017303467,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875972
2026-04-04_16-55-51,A*,24,1,140,176.45079348883252,0.0,5,273.0542462746665,3.235791325569153,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875977
2026-04-04_16-55-51,A*,25,0,44,53.941125496954264,50.53711507397311,0,-110.07623337268097,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875983
2026-04-04_16-55-51,A*,26,0,130,161.8944443027284,7.280109889280518,0,33.74937305302453,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875988
2026-04-04_16-55-51,A*,27,1,118,149.48023074035518,0.0,2,301.9266216788601,0.6717195510864258,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.875994
2026-04-04_16-55-51,A*,28,1,140,173.96551211459393,0.0,8,285.23165202670975,4.894223690032959,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876000
2026-04-04_16-55-51,A*,29,1,186,235.7056274847719,0.0,3,244.13355456867401,1.4503450691699982,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876005
2026-04-04_16-55-51,A*,30,0,151,193.66399692442903,18.110770276274835,9,-51.42944968951078,5.562265485525131,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876011
2026-04-04_16-55-51,A*,31,1,82,106.8528137423856,0.0,3,319.9557728248177,1.6075595319271088,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876016
2026-04-04_16-55-51,A*,32,1,101,129.58073580374344,0.0,0,337.20630075627184,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876022
2026-04-04_16-55-51,A*,33,1,111,140.4091629284897,0.0,11,314.4801995988997,5.609457463026047,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876027
2026-04-04_16-55-51,A*,34,0,119,153.37972567696693,17.26267650163207,9,-43.00621271825643,5.019414901733398,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876033
2026-04-04_16-55-51,A*,35,0,106,133.33809511662417,1.4142135623730951,6,52.10786227665375,4.447932332754135,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876039
2026-04-04_16-55-51,A*,36,1,108,139.48023074035515,0.0,3,315.64516874750626,1.6386230885982513,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876044
2026-04-04_16-55-51,A*,37,1,132,170.10764773832486,0.0,6,303.17477337446263,4.11959645152092,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876050
2026-04-04_16-55-51,A*,38,1,125,158.55129855222077,0.0,9,289.6006262599592,5.043436706066132,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876055
2026-04-04_16-55-51,A*,39,1,90,114.02438661763941,0.0,6,329.49846049146277,3.10731303691864,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876060
2026-04-04_16-55-51,A*,40,1,100,124.85281374238559,0.0,6,312.917980296138,3.3351771235466003,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876066
2026-04-04_16-55-51,A*,41,1,150,188.107647738325,0.0,0,281.43924148678894,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876071
2026-04-04_16-55-51,A*,42,1,136,169.13708498984775,0.0,0,269.8421824859797,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876076
2026-04-04_16-55-51,A*,43,1,109,137.58073580374352,0.0,0,319.69516904430213,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876081
2026-04-04_16-55-51,A*,44,1,118,148.65180361560903,0.0,3,306.6379347249724,1.3947303593158722,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876087
2026-04-04_16-55-51,A*,45,1,92,114.36753236814704,0.0,0,316.7190481149162,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876092
2026-04-04_16-55-51,A*,46,1,122,153.48023074035524,0.0,0,304.6956440245981,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876097
2026-04-04_16-55-51,A*,47,1,166,206.59292911256355,0.0,3,211.14257411658414,1.3716541826725006,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876102
2026-04-04_16-55-51,A*,48,0,88,112.43860018001251,11.180339887498949,12,-7.696180075856589,7.699351668357849,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876108
2026-04-04_16-55-51,A*,49,1,116,144.16652224137044,0.0,0,305.99822892516374,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876113
2026-04-04_16-55-51,A*,50,1,140,176.45079348883252,0.0,3,290.6498231683524,1.2675460278987885,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876119
2026-04-04_16-55-51,PPO,1,0,24,33.94112549695429,29.698484809834994,0,-16.652169808096872,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876124
2026-04-04_16-55-51,PPO,2,0,21,29.69848480983501,33.94112549695428,0,-18.523230113825463,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876130
2026-04-04_16-55-51,PPO,3,0,22,31.112698372208104,32.526911934581186,2,-24.091881387872746,1.3465183973312378,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876135
2026-04-04_16-55-51,PPO,4,0,20,28.284271247461913,35.35533905932738,2,-30.173254970334625,0.9980030059814453,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876141
2026-04-04_16-55-51,PPO,5,1,45,63.63961030678923,0.0,0,299.0558170342497,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876200
2026-04-04_16-55-51,PPO,6,1,45,63.63961030678923,0.0,0,305.47846794609495,0.0,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876207
2026-04-04_16-55-51,PPO,7,0,24,33.94112549695429,29.698484809834994,4,-7.595423295445428,1.442555159330368,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876212
2026-04-04_16-55-51,PPO,8,0,13,18.384776310850242,45.254833995939045,3,-61.71754222779282,1.2083199620246887,50,200,0.2,0.9,0.2,0,0.95,2,8,2026-04-04T21:19:20.876218
