run_id,method,episode,success,steps,path_length,final_distance,hazard_encounters,total_reward,hazard_penalty,grid,max_steps,encounter_threshold,termination_threshold,perception_noise,replan_frequency,confidence_decay,observation_radius,aerial_cell_px,timestamp_utc
2026-04-04_18-09-30,A*,1,1,58,77.8822509939085,0.0,0,412.488247493952,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794352
2026-04-04_18-09-30,A*,2,1,54,73.8822509939085,0.0,0,414.6264439650545,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794539
2026-04-04_18-09-30,A*,3,1,68,87.88225099390849,0.0,1,413.38857957207296,0.4854080379009247,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794545
2026-04-04_18-09-30,A*,4,1,61,82.95331880577396,0.0,3,410.5878842442849,1.4793318808078766,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794552
2026-04-04_18-09-30,A*,5,1,69,90.12489168102776,0.0,3,409.64469133192097,1.6632503271102905,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794558
2026-04-04_18-09-30,A*,6,1,56,74.22539674441612,0.0,0,409.372219970894,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794563
2026-04-04_18-09-30,A*,7,1,51,69.63961030678924,0.0,0,414.17835869259994,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794569
2026-04-04_18-09-30,A*,8,1,45,63.63961030678923,0.0,2,411.35970262130684,0.9053675532341003,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794574
2026-04-04_18-09-30,A*,9,0,114,150.86500705120545,9.219544457292887,21,119.1535090980922,12.218035787343979,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794579
2026-04-04_18-09-30,A*,10,1,51,68.81118318204304,0.0,0,413.21016943172066,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794585
2026-04-04_18-09-30,A*,11,1,58,77.88225099390849,0.0,0,410.2240742116922,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794591
2026-04-04_18-09-30,A*,12,1,57,76.4680374315354,0.0,1,410.6956486159832,0.39741191267967224,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794596
2026-04-04_18-09-30,A*,13,1,143,179.86500705120557,0.0,6,351.0934848500764,4.226220905780792,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794601
2026-04-04_18-09-30,A*,14,1,145,191.80613254816006,0.0,22,383.09176654863614,13.86469379067421,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794606
2026-04-04_18-09-30,A*,15,0,124,166.24978336205578,6.324555320336759,15,167.4108820971452,9.388692677021027,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794612
2026-04-04_18-09-30,A*,16,1,45,63.63961030678923,0.0,0,413.3064773904942,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794618
2026-04-04_18-09-30,A*,17,1,45,63.63961030678923,0.0,0,412.4700944410762,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794623
2026-04-04_18-09-30,A*,18,0,6,6.414213562373095,60.14149981501958,5,-124.9018715551889,3.3320820331573486,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794627
2026-04-04_18-09-30,A*,19,1,45,63.63961030678923,0.0,3,413.1972803044704,0.9462449550628662,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794633
2026-04-04_18-09-30,A*,20,1,45,63.63961030678923,0.0,2,412.9622553156122,1.0237327814102173,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794638
2026-04-04_18-09-30,A*,21,1,52,69.39696961966993,0.0,0,411.8116924751027,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794643
2026-04-04_18-09-30,A*,22,1,96,123.33809511662415,0.0,17,409.99168885728056,9.6693677008152,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794648
2026-04-04_18-09-30,A*,23,0,27,35.2842712474619,57.28001396647874,0,-115.40518382026606,0.0,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794654
2026-04-04_18-09-30,A*,24,1,61,81.29646455628159,0.0,5,412.46214037928144,3.320333957672119,50,200,0.2,0.9,0.0,4,0.95,2,8,2026-04-04T22:26:29.794659
