frame_id,risk_shape_match,obstacle_shape_match,risk_min_stereo,risk_max_stereo,risk_min_mono,risk_max_mono,risk_mae,risk_rmse,risk_correlation,risk_ssim,binary_obstacle_agreement,obstacle_iou,stereo_obstacle_fraction,mono_obstacle_fraction,risk_threshold,collision_threshold_m,depth_scale,depth_mae_m,depth_rmse_m,depth_valid_overlap
0010,True,True,-2.0,1.0,0.0,1.0,0.37615546584129333,1.0772746801376343,-0.9264283108549227,-0.17125389983930855,0.5823148148148148,0.09942824946427252,0.1700733024691358,0.28914158950617286,0.5,2.5,0.8424054726613803,0.05890737101435661,0.07661184668540955,0.04152970679012346
0020,True,True,-2.0,1.0,0.0,1.0,0.3751465976238251,1.053635835647583,-0.9277896540296011,-0.1897101726380889,0.5984510030864197,0.0657513583105547,0.1653491512345679,0.262602237654321,0.5,2.5,0.9238207575504022,0.07918308675289154,0.10457448661327362,0.026402391975308644
0030,True,True,-2.0,1.0,0.0,1.0,0.4182349443435669,0.9976332187652588,-0.8944331744338245,-0.28680179460731825,0.54796875,0.0747653979593143,0.27095100308641973,0.21487654320987654,0.5,2.5,0.7387730687060469,0.03409440815448761,0.0555863156914711,0.033796296296296297
0040,True,True,-2.0,1.0,0.0,1.0,0.4855189025402069,1.0404316186904907,-0.9028991737435017,-0.6800986053326861,0.18740933641975308,0.4025049436553851,0.7226215277777778,0.4170408950617284,0.5,2.5,0.9963937545999548,0.039264317601919174,0.04826195165514946,0.32707175925925924
0050,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0060,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0070,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0080,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0090,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0100,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0110,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0120,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0130,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0140,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
0150,True,True,-2.0,1.0,0.0,1.0,0.817158579826355,0.975178062915802,-0.8314713323787581,-0.04676122696040862,0.1725,0.012497202640707172,0.7863425925925925,0.051498842592592596,0.5,2.5,1.1724492836924465,0.038300275802612305,0.0565556064248085,0.010341435185185184
