episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,mean_obstacle_risk,max_obstacle_risk,min_obstacle_margin,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,joint_hazard_obstacle_steps,shield_interventions,shield_intervention_rate,elapsed_ms,trajectory_png
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.85068161420758,11.40175425099138,0.0,0.10774252794923919,0.9353779554367065,0.014622044563293413,0.031386392873167454,0.45304661989212036,0,0,0,0.0,137.38420799927553,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_001_raw_ppo_baseline_open_stereo_trajectory.png
2,0,raw_ppo,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,0,1,collision_risk,37,52.32590180780449,56.85068161420758,7.0710678118654755,0.0,0.026539145674752563,0.9999998807907104,-0.049999880790710494,0.02007027950355079,0.1632336676120758,0,0,0,0.0,27.61120899958769,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_002_raw_ppo_baseline_open_mono_trajectory.png
3,0,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.6939621418714523,0.9999998807907104,-0.049999880790710494,0.041615464026108384,0.07788389921188354,0,0,0,0.0,2.6274580013705418,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_003_raw_ppo_dense_corridor_stereo_trajectory.png
4,0,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0008291871986578946,0.16666662693023682,0.7833333730697631,0.016668891073853172,0.4699438810348511,0,0,0,0.0,165.6667909992393,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_004_raw_ppo_dense_corridor_mono_trajectory.png
5,0,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.6939621418714523,0.9999998807907104,-0.049999880790710494,0.09116704761981964,0.155454620718956,0,0,0,0.0,2.612000000226544,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_005_raw_ppo_obstacle_cluster_stereo_trajectory.png
6,0,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0008291871986578946,0.16666662693023682,0.7833333730697631,0.01656824385467388,0.4082980453968048,0,0,0,0.0,135.28133299769252,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_006_raw_ppo_obstacle_cluster_mono_trajectory.png
7,0,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.22277118748239,12.36931687685298,0.0,0.04118968977300978,0.7606095671653748,0.1893904328346252,0.019802796600282075,0.4434984028339386,0,0,0,0.0,126.85691699880408,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_007_raw_ppo_lateral_maneuver_stereo_trajectory.png
8,0,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,38,53.740115370177584,56.22277118748239,6.708203932499369,0.0,0.02502275124574319,0.9758872985839844,-0.02588729858398442,0.027849136168019893,0.42281270027160645,0,0,0,0.0,27.022124999348307,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_008_raw_ppo_lateral_maneuver_mono_trajectory.png
9,0,raw_ppo,stress_density,Stress Density,stereo,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,27.892651361962706,19.026297590440446,0.0,0.1111111111111111,1.0,-0.050000000000000044,4.0086090722352606e-05,0.0002745825331658125,0,0,0,0.0,4.87629199778894,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_009_raw_ppo_stress_density_stereo_trajectory.png
10,0,raw_ppo,stress_density,Stress Density,mono,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,27.892651361962706,21.02379604162864,0.0,0.053273996402477396,1.0,-0.050000000000000044,0.007425074900648363,0.0969681590795517,0,0,0,0.0,21.28833300230326,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week05_collision_avoidance/final/trajectories/episode_010_raw_ppo_stress_density_mono_trajectory.png
