episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,start_row,start_col,goal_row,goal_col,start_obstacle_risk,goal_obstacle_risk,success,collided,done_reason,steps,path_length,start_distance,final_distance,path_efficiency,progress_efficiency,min_obstacle_distance_cells,mean_obstacle_risk,max_obstacle_risk,mean_hazard_risk,max_hazard_risk,hazard_exposure_steps,shield_interventions,shield_intervention_rate,perception_latency_ms,avg_ppo_decision_latency_ms,p50_ppo_decision_latency_ms,p95_ppo_decision_latency_ms,avg_shield_decision_latency_ms,p50_shield_decision_latency_ms,p95_shield_decision_latency_ms,avg_total_inference_latency_ms,elapsed_ms,selected_visual
1,0,raw_ppo,baseline_open,Baseline Open,stereo,0020,2,2,38,46,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.85068161420758,11.40175425099138,0.0,0.6837711645996816,2.1968994140625,0.10774252794923919,0.9353779554367065,0.031386392873167454,0.45304661989212036,0,0,0.0,12.161624999862397,0.596627295,0.512375,0.5835062499999999,0.0,0.0,0.0,12.758252294862396,132.1347090015479,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week06_performance_evaluation/final/visuals/week06_selected_raw_ppo_stereo_trajectory.png
2,0,raw_ppo,baseline_open,Baseline Open,mono,0020,2,2,38,46,0.0,0.1527777761220932,0,1,collision_risk,37,52.32590180780449,56.85068161420758,7.0710678118654755,0.0,0.9513379049860426,0.0,0.026539145674752563,0.9999998807907104,0.02007027950355079,0.1632336676120758,0,0,0.0,8.002416998351691,0.49842897297297295,0.494167,0.5288670000000001,0.0,0.0,0.0,8.500845971324665,20.788083998922957,/Users/clintonimaro/Documents/Projects/uav-research/navigation/results/week06_performance_evaluation/final/visuals/week06_selected_raw_ppo_mono_trajectory.png
3,0,raw_ppo,dense_corridor,Dense Corridor,stereo,0050,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.5276922773869994,0.0,0.6939621418714523,0.9999998807907104,0.041615464026108384,0.07788389921188354,0,0,0.0,9.967291000066325,0.5505003333333334,0.523209,0.5980962,0.0,0.0,0.0,10.517791333399659,1.8579589996079449,
4,0,raw_ppo,dense_corridor,Dense Corridor,mono,0050,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.016668891073853172,0.4699438810348511,0,0,0.0,6.563708000612678,0.6422362100000001,0.585208,0.8593499999999995,0.0,0.0,0.0,7.205944210612678,144.26429200102575,
5,0,raw_ppo,obstacle_cluster,Obstacle Cluster,stereo,0060,9,9,47,2,0.0,0.0,0,1,collision_risk,3,4.242640687119286,38.63935817272331,36.40054944640259,0.0,0.5276922773869994,0.0,0.6939621418714523,0.9999998807907104,0.09116704761981964,0.155454620718956,0,0,0.0,8.926332999180886,0.5875833333333333,0.58525,0.605725,0.0,0.0,0.0,9.513916332514219,1.9686250016093254,
6,0,raw_ppo,obstacle_cluster,Obstacle Cluster,mono,0060,9,9,47,2,0.16666662693023682,0.0,0,0,max_steps,200,56.56854249492377,38.63935817272331,47.042533945356304,0.0,0.0,1.0,0.0008291871986578946,0.16666662693023682,0.01656824385467388,0.4082980453968048,0,0,0.0,6.788624999899184,0.5651541899999999,0.5519585,0.67800385,0.0,0.0,0.0,7.353779189899184,126.59087499923771,
7,0,raw_ppo,lateral_maneuver,Lateral Maneuver,stereo,0010,2,2,46,37,0.0,0.0,0,0,max_steps,200,66.46803743153542,56.22277118748239,12.36931687685298,0.0,0.6597675515212873,9.196868896484375,0.04118968977300978,0.7606095671653748,0.019802796600282075,0.4434984028339386,0,0,0.0,13.21158299833769,0.5393668699999999,0.531458,0.60153545,0.0,0.0,0.0,13.75094986833769,120.76891700053238,
8,0,raw_ppo,lateral_maneuver,Lateral Maneuver,mono,0010,2,2,46,37,0.0,0.11824844777584076,0,1,collision_risk,38,53.740115370177584,56.22277118748239,6.708203932499369,0.0,0.9213706914083128,0.0,0.02502275124574319,0.9758872985839844,0.027849136168019893,0.42281270027160645,0,0,0.0,169.17329100033385,0.5275394736842105,0.5233125000000001,0.5498849499999999,0.0,0.0,0.0,169.70083047401806,22.435416998632718,
9,0,raw_ppo,stress_density,Stress Density,stereo,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,8,11.313708498984763,27.892651361962706,19.026297590440446,0.0,0.7836823595302886,0.0,0.1111111111111111,1.0,4.0086090722352606e-05,0.0002745825331658125,0,0,0.0,9.763624999322928,0.5276093749999999,0.521521,0.55048355,0.0,0.0,0.0,10.29123437432293,4.719791999377776,
10,0,raw_ppo,stress_density,Stress Density,mono,0040,2,2,29,9,0.0,0.0,0,1,collision_risk,28,39.59797974644666,27.892651361962706,21.02379604162864,0.0,0.17346479199991122,0.0,0.053273996402477396,1.0,0.007425074900648363,0.0969681590795517,0,0,0.0,6.436416999349603,0.5296145714285714,0.5279579999999999,0.54944395,0.0,0.0,0.0,6.966031570778175,16.537874998903135,
