episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,ppo_action,selected_action,reason,proposed_score,selected_score,obstacle_risk,hazard_risk,distance_to_goal,shield_decision_latency_ms
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,14,16,15,3,4,obstacle_risk,288.96944305432265,9.371402258720286,0.032021600753068924,0.3723985254764557,38.01315561749642,0.802583
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,15,17,14,3,5,obstacle_risk,218.5824631208143,13.772306969858095,0.16396604478359222,0.46591320633888245,38.27531841800928,1.112417
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,22,24,19,3,5,obstacle_risk,213.38353937666378,3.115185656155098,0.0,0.012928617186844349,30.4138126514911,0.81625
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,27,29,22,3,5,obstacle_risk,205.2145496804953,3.5977516993172545,0.0,0.059144891798496246,25.632011235952593,0.891583
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,32,32,27,3,1,obstacle_risk,220.58866868069853,3.3005329497051816,0.0,0.45050767064094543,19.924858845171276,0.838
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,33,31,28,3,1,lookahead_safer,204.7235302230272,1.8980616789442692,0.0,0.4024520516395569,19.313207915827967,0.795
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,34,30,29,3,1,lookahead_safer,200.26312965534174,0.25501537114374767,0.0,0.3211722671985626,18.788294228055936,0.80375
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,39,33,34,3,1,obstacle_risk,209.05766879952972,-2.2885639240216493,0.0,0.28691282868385315,13.0,0.776084
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,44,36,38,3,0,obstacle_risk,216.66671902517302,-0.36171585994521904,0.005979938432574272,0.06436626613140106,8.246211251235321,0.8835
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,45,35,39,3,1,lookahead_safer,8.985382263009814,-4.62129340042879,0.0,0.03874467685818672,7.615773105863909,0.816291
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,46,35,40,3,2,lookahead_safer,4.908724667590345,-4.813175522342568,0.009645061567425728,0.021430129185318947,6.708203932499369,0.837333
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,47,34,41,3,1,obstacle_risk,205.83359354460083,-2.9286338924961104,0.0038580247201025486,0.010891719721257687,6.4031242374328485,0.851291
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,49,35,43,3,2,obstacle_risk,199.11489349066224,-4.7668476688398,0.005401234608143568,0.002585227834060788,4.242640687119285,0.805084
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,50,35,44,3,2,obstacle_risk,198.17400114790647,-4.032925019261231,0.14949846267700195,0.0011411308078095317,3.605551275463989,0.781833
501,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,54,38,46,3,6,negative_progress,3.0612205396599013,-4.137877876515267,0.0,0.000145647645695135,0.0,0.8025
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,37,37,39,3,1,obstacle_risk,10218.002734256965,-6.983336604804547,0.0,0.06620721518993378,7.0710678118654755,0.937041
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,38,37,40,3,2,lookahead_safer,0.5461832715048669,-7.416465396714258,0.0,0.06436626613140106,6.082762530298219,0.872792
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,39,37,41,3,2,lookahead_safer,-0.3183429759324552,-7.686586058825901,0.0,0.059144891798496246,5.0990195135927845,0.837083
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,41,37,43,3,1,obstacle_risk,211.61970871295804,-7.721212517656104,0.0,0.04216509684920311,3.1622776601683795,1.112167
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,43,38,45,3,2,lookahead_safer,6.56840043564898,-3.66175286633273,0.0,0.03874467685818672,1.0,0.784583
502,0,ppo_shield,baseline_open,Baseline Open,mono,0020,44,38,46,3,2,obstacle_risk,218.00038635569317,0.3735866853346427,0.1527777761220932,0.026853499934077263,0.0,0.802417
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,1,10,8,3,5,obstacle_risk,213.49231236107144,-7.039320457488595,0.0,0.006196049507707357,37.48332962798263,0.794208
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,3,12,8,3,5,obstacle_risk,211.31863660389732,-7.299113542701433,0.0,0.005423195194453001,35.510561809129406,0.894458
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,5,14,8,3,5,obstacle_risk,10214.193097762234,-7.576744092616664,0.0,0.0036364395637065172,33.54101966249684,0.893042
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,7,16,8,3,5,obstacle_risk,212.43175744346138,-7.860577353541966,0.0,0.0018680059583857656,31.575306807693888,0.786375
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,18,8,3,5,obstacle_risk,211.8719513723177,-8.145085632651815,0.0,0.0007351245149038732,29.614185789921695,0.8925
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,11,20,8,3,5,obstacle_risk,10213.900604039016,-8.432519309249109,0.0,0.00022162783716339618,27.65863337187866,0.81725
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,13,22,8,3,5,obstacle_risk,10213.778538652834,-8.728111570254313,0.0,5.1188035286031663e-05,25.709920264364882,0.849083
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,15,24,8,3,5,obstacle_risk,10213.677920489363,-9.036158898375415,0.0,9.057188435690477e-06,23.769728648009426,0.824375
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,17,26,8,3,5,obstacle_risk,10213.600198391177,-9.3573708808843,0.0,5.6788179790601134e-05,21.840329667841555,0.837333
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,19,28,8,3,5,obstacle_risk,10213.557824742087,-9.680714385004851,0.0,0.00040941874613054097,19.924858845171276,0.914666
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,21,30,8,3,5,obstacle_risk,10213.586314613127,-9.955007754437043,0.0,0.002268242882564664,18.027756377319946,0.76725
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,23,32,8,3,5,obstacle_risk,10213.76800473027,-10.039244214941512,0.0,0.009656581096351147,16.15549442140351,0.839875
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,25,34,8,3,5,obstacle_risk,10214.237239508544,-9.691566382239122,0.0,0.03159143030643463,14.317821063276353,0.839167
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,27,36,8,3,5,obstacle_risk,10215.105980438386,-8.733932900184074,0.0,0.07941950857639313,12.529964086141668,1.080083
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,29,38,8,3,5,obstacle_risk,10215.521421391682,-7.392912872478778,0.0,0.15342535078525543,10.816653826391969,1.047334
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,31,40,8,3,5,obstacle_risk,215.6985082439725,-5.706850881184444,0.0,0.22776085138320923,9.219544457292887,0.844625
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,33,42,8,3,5,obstacle_risk,10218.783230088302,-6.39842001109098,0.0,0.25982028245925903,7.810249675906654,1.896583
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,34,43,7,3,5,negative_progress,0.0329104177900692,-4.984555497296744,0.0,0.3611253798007965,6.4031242374328485,0.848042
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,35,44,6,3,5,negative_progress,1.3062320730603942,-4.190472210751874,0.0,0.43999627232551575,5.0,0.925584
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,36,45,5,3,5,negative_progress,2.503191209163868,-4.100047795567431,0.0,0.4699438810348511,3.605551275463989,2.800167
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,37,46,4,3,5,negative_progress,3.8698151623461117,-4.017817464007235,0.0,0.43999627232551575,2.23606797749979,0.9025
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,38,47,3,3,5,negative_progress,5.484265211463835,-0.6036212253164592,0.0,0.3611253798007965,1.0,0.83875
503,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,39,47,2,3,6,negative_progress,6.694517904161809,2.1336052060127257,0.0,0.3732127845287323,0.0,0.902334
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,11,20,18,3,5,lookahead_safer,-4.4070129723911595,-9.7551237719251,0.0,2.2261059712036513e-05,31.38470965295043,0.816
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,12,21,17,3,5,lookahead_safer,-4.590609347774997,-9.841050258559921,0.0,3.938861937058391e-06,30.01666203960727,0.957958
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,13,22,16,3,5,lookahead_safer,-4.777436335741289,-9.92052092507695,0.0,6.100087261984299e-07,28.653097563788805,0.846083
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,14,23,15,3,5,lookahead_safer,-4.9685211066227,-9.99241445639486,0.0,8.268784768006299e-08,27.294688127912362,0.8625
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,16,25,15,3,5,lookahead_safer,-4.913014533612387,-10.283653667770993,0.0,9.810423584610817e-09,25.553864678361276,0.913166
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,17,26,14,3,5,lookahead_safer,-5.107577434046264,-10.35852954673181,0.0,1.0187654053694928e-09,24.186773244895647,1.127
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,18,27,13,3,5,lookahead_safer,-5.308279721286688,-10.423405865601504,0.0,9.259786687421112e-11,22.825424421026653,0.837708
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,20,29,13,3,5,lookahead_safer,-5.196655936745366,-10.737844584078962,0.0,8.893411007626639e-11,21.095023109728988,0.789417
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,21,30,12,3,5,lookahead_safer,-5.4005108543304186,-10.807681974305106,0.0,4.310240012128652e-11,19.72308292331602,0.949958
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,22,31,11,3,5,lookahead_safer,-5.613296153159389,-10.863636250567431,0.0,1.831220071413231e-11,18.35755975068582,0.930167
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,23,32,10,3,5,lookahead_safer,-5.836538087509657,-10.901091532021209,0.0,6.820019809311573e-12,17.0,0.857334
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,25,34,10,3,5,lookahead_safer,-5.622666548106784,-11.276070233614865,0.0,2.2311640382466358e-11,15.264337522473747,0.788458
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,26,35,9,3,5,lookahead_safer,-5.849390136931829,-11.320830787970536,0.0,6.38540782749164e-12,13.892443989449804,0.834375
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,27,36,8,3,5,lookahead_safer,-6.093142638067482,-11.335442491109719,0.0,1.6019604262909604e-12,12.529964086141668,0.84325
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,29,38,8,3,5,lookahead_safer,-5.682936909156514,-11.781343140016915,0.0,3.0947226118543947e-12,10.816653826391969,0.828542
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,30,39,7,3,5,lookahead_safer,-5.915701362270029,-11.814369391545458,0.0,5.96618728813253e-13,9.433981132056603,0.792584
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,31,40,6,3,5,lookahead_safer,-6.177677189304108,-11.788245934715587,0.0,1.0082728516035491e-13,8.06225774829855,0.799041
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,32,41,5,3,5,lookahead_safer,-6.482470430792527,-11.642541117705683,0.0,1.4937065188794056e-14,6.708203932499369,0.865458
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,34,43,5,3,5,lookahead_safer,-5.326643068004458,-12.40680858026618,0.0,1.4937065188794056e-14,5.0,0.874834
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,35,44,4,3,5,lookahead_safer,-5.391187393101028,-12.203219233546157,0.0,1.7004525229308981e-15,3.605551275463989,0.789625
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,36,45,3,3,5,lookahead_safer,-5.230975610866,-11.467449701362147,0.0,1.6969528210208597e-16,2.23606797749979,0.910791
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,38,47,3,3,5,negative_progress,-0.1303398874988766,-6.947006554165615,0.0,1.0020602259832326e-16,1.0,0.865917
504,0,ppo_shield,dense_corridor,Dense Corridor,mono,0050,39,47,2,3,6,negative_progress,1.9158399836613764,-4.141666666666667,0.0,1.1038105716241352e-17,0.0,0.780708
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,1,10,8,3,5,obstacle_risk,214.02598824465764,-6.883414873382373,0.0,0.018181893974542618,37.48332962798263,0.79425
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,3,12,8,3,5,obstacle_risk,211.75758545885657,-7.169712177678016,0.0,0.015758255496621132,35.510561809129406,0.81275
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,5,14,8,3,5,obstacle_risk,10214.467897654837,-7.487485268122152,0.0,0.010259240865707397,33.54101966249684,0.794917
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,7,16,8,3,5,obstacle_risk,212.6654848178471,-7.728305107665397,0.0,0.006695295684039593,31.575306807693888,0.805042
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,9,18,8,3,5,obstacle_risk,212.56541661672105,-7.695218360578936,0.0,0.021518448367714882,29.614185789921695,0.803666
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,11,20,8,3,5,obstacle_risk,10215.678844678945,-7.305789368454837,0.0,0.0569305382668972,27.65863337187866,0.846333
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,13,22,8,3,5,obstacle_risk,10217.405313346782,-6.424730914619304,0.0,0.12398602813482285,25.709920264364882,0.839875
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,15,24,8,3,5,obstacle_risk,10219.772828352277,-5.145468054174981,0.0,0.22227638959884644,23.769728648009426,0.901791
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,17,26,8,3,5,obstacle_risk,10222.072719051313,-3.9231199611441965,0.0,0.32802510261535645,21.840329667841555,0.852042
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,18,27,7,3,5,lookahead_safer,1.0262379082471287,-4.774980387514188,0.0,0.28348293900489807,20.615528128088304,0.824708
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,19,28,6,3,5,lookahead_safer,-0.5480692269485116,-5.734850253193555,0.0,0.22227638959884644,19.4164878389476,0.806375
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,21,30,6,3,5,lookahead_safer,-0.9040885447852649,-6.207611219723117,0.0,0.22227638959884644,17.46424919657298,0.811834
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,23,32,6,3,5,lookahead_safer,-2.210761907077294,-7.243124607753772,0.0,0.1829727739095688,15.524174696260024,0.825458
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,26,35,7,3,5,lookahead_safer,-3.631509436442928,-9.030137593610002,0.0,0.13016657531261444,13.0,0.827375
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,28,37,7,3,5,lookahead_safer,-4.758372572692127,-9.97306727783337,0.0,0.06587573140859604,11.180339887498949,0.784083
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,30,39,7,3,5,lookahead_safer,-4.533713892642184,-9.554998806269335,0.0,0.07312434911727905,9.433981132056603,0.797792
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,32,41,7,3,5,lookahead_safer,-2.582776001884967,-7.891558731682843,0.0,0.15820874273777008,7.810249675906654,0.787167
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,34,43,7,3,5,negative_progress,0.2508043361453751,-4.391589304895495,0.0,0.27455952763557434,6.4031242374328485,0.784542
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,35,44,6,3,5,negative_progress,3.243240900871627,1.128436356180357,0.0,0.42673805356025696,5.0,0.777125
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,36,45,6,3,4,negative_progress,8.808766061107258,6.914961938293605,0.0,0.4897933602333069,4.47213595499958,0.763792
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,38,47,7,3,4,negative_progress,9.348685399905388,7.1353646183502555,0.0,0.42673805356025696,5.0,0.795875
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,39,48,7,3,4,negative_progress,9.189741995382347,7.602156333598062,0.0,0.4151366353034973,5.0990195135927845,0.778792
505,0,ppo_shield,obstacle_cluster,Obstacle Cluster,stereo,0060,40,49,6,3,5,negative_progress,9.148802426981026,6.255072940519563,0.0,0.4897933602333069,4.47213595499958,0.817125
