mode,perturbation_type,severity,clean_success_rate,perturbed_success_rate,success_rate_drop,clean_collision_rate,perturbed_collision_rate,collision_rate_increase,clean_timeout_rate,perturbed_timeout_rate,timeout_rate_increase,clean_path_efficiency,perturbed_path_efficiency,path_efficiency_reduction,clean_min_obstacle_distance_cells,perturbed_min_obstacle_distance_cells,min_obstacle_distance_reduction,clean_total_inference_latency_ms,perturbed_total_inference_latency_ms,inference_latency_change_ms
mono,depth_noise,extreme,0.956,0.908,0.04799999999999993,0.0,0.0,0.0,0.044,0.092,0.048,0.7600523268124411,0.7097747452717909,0.05027758154065021,1.336685791015625,1.3462860107421875,-0.009600219726562553,40.84080250337608,40.848188271304956,0.007385767928873577
mono,depth_noise,high,0.956,0.944,0.01200000000000001,0.0,0.0,0.0,0.044,0.056,0.012000000000000004,0.7600523268124411,0.7431121485533111,0.016940178259129968,1.336685791015625,1.3422735595703126,-0.005587768554687678,40.84080250337608,40.892154246676164,0.05135174330008141
mono,depth_noise,low,0.956,0.952,0.0040000000000000036,0.0,0.0,0.0,0.044,0.048,0.0040000000000000036,0.7600523268124411,0.7542926697707467,0.005759657041694344,1.336685791015625,1.34948583984375,-0.012800048828125021,40.84080250337608,40.8796252861216,0.038822782745519646
mono,depth_noise,medium,0.956,0.944,0.01200000000000001,0.0,0.0,0.0,0.044,0.056,0.012000000000000004,0.7600523268124411,0.7447066719926799,0.015345654819761134,1.336685791015625,1.3438857421875,-0.0071999511718749964,40.84080250337608,40.81556879034903,-0.02523371302704902
mono,image_blur,extreme,0.956,0.728,0.22799999999999998,0.0,0.048,0.048,0.044,0.224,0.18,0.7600523268124411,0.5331207199696326,0.22693160684280844,1.336685791015625,1.402260986328125,-0.06557519531250011,40.84080250337608,40.82075670495246,-0.02004579842362375
mono,image_blur,high,0.956,0.728,0.22799999999999998,0.0,0.004,0.004,0.044,0.268,0.22400000000000003,0.7600523268124411,0.5324608311006016,0.22759149571183945,1.336685791015625,1.4966478271484376,-0.15996203613281268,40.84080250337608,40.85982447465867,0.019021971282590755
mono,image_blur,low,0.956,0.92,0.03599999999999992,0.0,0.0,0.0,0.044,0.08,0.036000000000000004,0.7600523268124411,0.7055039445715704,0.05454838224087066,1.336685791015625,1.4318612060546876,-0.09517541503906268,40.84080250337608,40.85936430417385,0.01856180079776948
mono,image_blur,medium,0.956,0.848,0.10799999999999998,0.0,0.0,0.0,0.044,0.152,0.108,0.7600523268124411,0.6357131759281619,0.12433915088427916,1.336685791015625,1.4582608642578125,-0.12157507324218764,40.84080250337608,40.86404409212488,0.023241588748796005
mono,partial_occlusion,extreme,0.956,0.832,0.124,0.0,0.128,0.128,0.044,0.04,-0.003999999999999997,0.7600523268124411,0.6439707535680227,0.11608157324441837,1.336685791015625,1.1990859375,0.13759985351562487,40.84080250337608,40.943337057598676,0.1025345542225935
mono,partial_occlusion,high,0.956,0.844,0.11199999999999999,0.0,0.12,0.12,0.044,0.036,-0.008,0.7600523268124411,0.6561915563133381,0.10386077049910292,1.336685791015625,1.21348583984375,0.12319995117187488,40.84080250337608,40.88920529162279,0.04840278824670463
