mode,perturbation_type,severity,runs,collisions,timeouts,low_clearance_runs,low_clearance_rate,hazard_exposure_runs,hazard_exposure_rate,shield_intervention_spike_runs,shield_intervention_spike_rate,inefficient_success_runs,inefficient_success_rate
mono,depth_noise,extreme,250,0,23,0,0.0,1,0.004,53,0.212,0,0.0
mono,depth_noise,high,250,0,14,0,0.0,1,0.004,62,0.248,0,0.0
mono,depth_noise,low,250,0,12,0,0.0,1,0.004,39,0.156,0,0.0
mono,depth_noise,medium,250,0,14,0,0.0,1,0.004,47,0.188,0,0.0
mono,image_blur,extreme,250,12,56,12,0.048,1,0.004,57,0.228,0,0.0
mono,image_blur,high,250,1,67,1,0.004,1,0.004,63,0.252,0,0.0
mono,image_blur,low,250,0,20,0,0.0,1,0.004,45,0.18,0,0.0
mono,image_blur,medium,250,0,38,0,0.0,1,0.004,63,0.252,0,0.0
mono,partial_occlusion,extreme,250,32,10,32,0.128,1,0.004,35,0.14,0,0.0
mono,partial_occlusion,high,250,30,9,30,0.12,1,0.004,34,0.136,0,0.0
mono,partial_occlusion,low,250,10,10,10,0.04,1,0.004,35,0.14,0,0.0
mono,partial_occlusion,medium,250,23,10,23,0.092,1,0.004,35,0.14,0,0.0
mono,reduced_resolution,extreme,250,3,66,3,0.012,1,0.004,53,0.212,0,0.0
mono,reduced_resolution,high,250,13,55,13,0.052,1,0.004,57,0.228,0,0.0
mono,reduced_resolution,low,250,0,20,0,0.0,1,0.004,45,0.18,0,0.0
mono,reduced_resolution,medium,250,0,58,0,0.0,1,0.004,59,0.236,0,0.0
stereo,depth_noise,extreme,250,2,57,2,0.008,3,0.012,63,0.252,0,0.0
stereo,depth_noise,high,250,1,42,1,0.004,3,0.012,56,0.224,0,0.0
stereo,depth_noise,low,250,0,38,0,0.0,3,0.012,57,0.228,0,0.0
stereo,depth_noise,medium,250,3,35,3,0.012,3,0.012,51,0.204,0,0.0
stereo,image_blur,extreme,250,26,18,26,0.104,3,0.012,62,0.248,1,0.004
stereo,image_blur,high,250,40,21,40,0.16,3,0.012,63,0.252,0,0.0
stereo,image_blur,low,250,20,22,20,0.08,3,0.012,37,0.148,0,0.0
stereo,image_blur,medium,250,20,21,20,0.08,3,0.012,63,0.252,0,0.0
stereo,partial_occlusion,extreme,250,127,22,127,0.508,3,0.012,61,0.244,0,0.0
stereo,partial_occlusion,high,250,105,30,105,0.42,3,0.012,63,0.252,0,0.0
stereo,partial_occlusion,low,250,53,35,53,0.212,3,0.012,54,0.216,0,0.0
stereo,partial_occlusion,medium,250,85,34,85,0.34,3,0.012,63,0.252,0,0.0
stereo,reduced_resolution,extreme,250,32,20,32,0.128,3,0.012,63,0.252,0,0.0
stereo,reduced_resolution,high,250,56,24,56,0.224,3,0.012,36,0.144,1,0.004
stereo,reduced_resolution,low,250,20,23,20,0.08,3,0.012,48,0.192,0,0.0
stereo,reduced_resolution,medium,250,20,21,20,0.08,3,0.012,63,0.252,0,0.0
