hazard_density,hazard_density_seed,episode,episode_variant,controller,scenario_id,scenario_name,mode,frame_id,step,row,col,event_type,event_value
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,14,16,15,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,15,17,14,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,22,24,19,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,27,29,22,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,32,33,27,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,34,33,29,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,36,34,31,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,37,34,32,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,38,34,33,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,39,33,34,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,44,36,38,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,45,35,39,shield_intervention,lookahead_safer
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,46,35,40,shield_intervention,lookahead_safer
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,47,34,41,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,49,35,43,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,50,35,44,shield_intervention,obstacle_risk
none,22046,1,0,ppo_shield,baseline_open,Baseline Open,stereo,0020,54,38,46,shield_intervention,negative_progress
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,37,37,39,shield_intervention,obstacle_risk
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,38,37,40,shield_intervention,lookahead_safer
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,39,37,41,shield_intervention,lookahead_safer
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,41,38,43,shield_intervention,obstacle_risk
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,42,38,44,shield_intervention,obstacle_risk
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,43,38,45,shield_intervention,lookahead_safer
none,22046,2,0,ppo_shield,baseline_open,Baseline Open,mono,0020,44,38,46,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,1,10,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,3,12,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,5,14,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,7,16,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,9,18,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,11,20,8,shield_intervention,obstacle_risk
none,24454,3,0,ppo_shield,dense_corridor,Dense Corridor,stereo,0050,13,22,8,shield_intervention,obstacle_risk
